Date,AGRI,BASIC-IND,CONSUMER,FINANCE,INFRASTRUC,MINING,MISC-IND,PROPERTY,TRADE
2019-05-20,0.9926961366696967,1.0247331393933774,1.0054697251670854,1.0178150962982824,1.0206963386673602,1.006629781043992,1.026329565024639,1.0138039990586063,1.0011718340672737
2019-05-21,1.010978338455621,1.0068087994118644,1.0048177747788833,1.0081787763834562,1.001206041322199,1.0094508069716785,1.0146375339231763,1.0147629719013964,1.0085965810242121
2019-05-22,0.9961332389994856,0.9968376826898233,0.9957654839913866,0.9989632307004306,0.9909961170060702,1.0049950455745595,1.0002546166668305,1.0006092892833036,1.0018932251393975
2019-05-23,1.0066383056235366,1.0179508201339937,1.0093577541728864,1.0208139121570416,1.0281299742796193,1.0099686084978743,1.0146305928766406,1.0063540282547134,1.0061767224719016
2019-05-24,1.0018824834188234,0.9993399084174823,1.003813989131306,1.0049996550829279,1.0173255144533655,0.9930336089410406,1.0082201947355258,1.004213021904115,0.9949797381780932
2019-05-27,1.0056717961416055,1.0227376583812229,0.9996881133996266,1.00878595032408,1.0140420905684493,1.0059460895210706,0.996753132451073,1.0139008661722444,0.9956937720563279
2019-05-28,1.0035216214376443,1.008830578008855,0.9883762994275974,0.9827674472104229,0.9762217030872881,0.9965492187030526,0.9942589354949019,0.9955948596386194,0.9985148765776269
2019-05-29,0.9991008550536493,1.0028358914066988,1.015651055385247,1.012319802184216,1.0221303729992137,0.9994457194926445,1.016226253623013,1.006963136207199,1.0069683802291405
2019-05-31,1.0102562991372428,1.0190054938069204,1.0192518239052402,1.0202728063983222,1.0179629995554018,1.0051954526229572,1.0265859913498603,1.0115183661416889,1.006272377718881
2019-06-10,0.9927083072677423,1.0132150258863208,1.0008526274700549,1.0182396240990315,1.0206859617789357,0.9975978896350939,1.0238025587924828,1.0235303600683188,1.0089898504112937
2019-06-11,0.9998213920473369,0.9959090979794367,1.0053131512541038,1.0024264235645228,1.005522812057984,1.0063606821597633,0.994598349571292,0.9987527270792316,1.0052939672357422
2019-06-12,0.9997716579219574,0.994348650027593,1.0026884395879025,0.9951205896885809,0.9860218331282976,0.9828780587081124,0.9878650202959,0.9997890200942378,1.0001308805172002
2019-06-13,0.9933340586231071,0.9964409597235493,0.9968933694017955,0.9963639420587725,1.0063727102086673,0.9971416897332469,1.0008662764575909,1.020804024385045,0.998680255060154
2019-06-14,1.0020809473278793,0.9911014895218528,0.9945545823967397,0.9999227238426119,0.9975230464741491,0.9953138950867068,0.9907159581288021,0.9852328252244728,1.000650236854337
2019-06-17,1.0044673877796821,0.9817184619279316,0.9870868853490639,0.9944837908619403,0.990689426037022,0.9901602077165664,0.9923320071008267,0.9911026899632918,0.9875052812855946
2019-06-18,1.0008993039041896,0.9985081357231964,1.0122180774059952,1.0140807209024603,1.0099344933046785,0.9932961690250747,1.0128461642510718,1.0337895344610055,1.003734293449161
2019-06-19,1.0134774382500065,1.0267530581587634,1.0076528097860429,1.0108199364581891,1.0212430921798619,1.017230852125877,1.0189090566623256,1.0176653958889688,1.0027569600153552
2019-06-20,1.003627172680698,1.0148492490436087,0.9918143603426701,0.9983569019401554,0.9987569530071468,1.0016552849070193,0.9919221520320386,1.013750810515254,0.9997041806238309
2019-06-21,1.0045858832089716,1.0023097655068962,0.9900579417995719,1.000678002349375,0.9981494081282275,1.0149415182821393,0.9825876612762785,0.9877450194090662,0.9936877336638871
2019-06-24,1.022054642698865,0.9895600974080196,0.9925509348737933,0.9987881659957055,0.9922095866550545,1.0014017920782619,0.9911601488440644,0.9912225145344116,0.9998723771630195
2019-06-25,1.0083682902533098,1.0114174397565536,1.0015728705032436,1.0011567093015863,1.0051871238470127,1.0512199124726478,0.9992023998588317,0.9963772271144788,1.0038204142515341
2019-06-26,0.9875753212819283,0.9939605527989197,0.9978961539948751,0.9996267495148519,1.0035255998515538,0.9948290427050644,0.989477716085139,0.9985489105524622,1.0013114247283343
2019-06-27,0.9698067231544554,1.0186995308524691,1.0011628880790013,1.0057046532742107,1.0128170802927037,0.9977919517542331,1.0171220923775952,1.0096001646683477,1.0056172990900525
2019-06-28,1.0041614796879819,0.992931638868449,0.9965952930894563,1.0060119854572345,1.003362188677437,0.9992677918711501,1.0086895012388504,0.994352574675477,0.9964456604497707
2019-07-01,1.0174214195030618,1.0149565584347913,0.993183609091695,1.0030726353226727,1.012257624171429,1.011406799777087,0.9940288190855117,1.0023169078916343,1.0022463143299447
2019-07-02,0.9922153705559074,1.0176529644709689,1.001794524430003,0.9996549771078838,1.0015331697410041,0.9911569558210895,0.9934655926624231,1.000834613551424,0.9979880547725125
2019-07-03,0.988909544129452,0.9967613433947599,1.002367987428933,0.9992829904566717,0.9946701381557361,0.9650641131876445,0.9975071540138811,0.9909515857718949,0.9994671198011574
2019-07-04,0.9990259116057504,0.99549863659426,1.0036721356504494,1.0001704024018334,1.0087557080701275,1.0078771328754759,0.9999929360294677,1.0064929975455315,0.9991287921156308
2019-07-05,0.9945161230543783,1.0068001506402209,1.0074584088783352,0.9943845548518209,1.002527670423504,1.0007514854841342,0.9887854751181654,0.9944034362204853,1.0018484219377581
2019-07-08,1.0055384827080085,0.996577379282484,0.9909934307947645,0.9986823301627303,0.9939167543967294,0.9891692912068744,1.0180484753614538,0.9934899133843177,0.9971691612398578
2019-07-09,1.007209263208311,1.0106209150326797,0.9986486452606059,1.0074517723539707,1.0133821996843506,0.9932148176063252,0.9991750558084882,1.0098177096297771,1.0074943813929165
