Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
21-01-2015,2204.168,2256.874,2187.36,2256.128,141431643,51.96,2204.168,800187098900,19047,,,,,,,,CONSUMER,36,1.03366633883384E+15
22-01-2015,2256.128,2296.698,2241.11,2292.874,182875036,36.746,2256.128,1019454480481,24427,,,,,,,,CONSUMER,36,1.0461392776889E+15
23-01-2015,2292.874,2324.539,2291.319,2324.316,198588730,31.442,2292.874,885280461725,34596,,,,,,,,CONSUMER,36,1.05709448791658E+15
26-01-2015,2324.316,2317.443,2233.252,2271.804,101911826,-52.512,2324.316,657240665370,24078,,,,,,,,CONSUMER,36,1.03901960765786E+15
27-01-2015,2271.804,2294.605,2255.023,2294.605,78699047,22.801,2271.804,381416726165,14113,,,,,,,,CONSUMER,36,1.04670632092605E+15
28-01-2015,2294.605,2293.603,2273.776,2283.42,75488340,-11.185,2294.605,323999954900,12563,,,,,,,,CONSUMER,36,1.04282395688262E+15
29-01-2015,2283.42,2283.771,2269.349,2275.003,66884948,-8.417,2283.42,266859509445,13087,,,,,,,,CONSUMER,36,1.0394099525435E+15
30-01-2015,2275.003,2297.226,2280.634,2297.226,113778862,22.223,2275.003,465567204800,11913,,,,,,,,CONSUMER,36,1.0469072992664E+15
02-02-2015,2297.226,2301.872,2278.634,2290.986,108145130,-6.24,2297.226,389838896350,11783,,,,,,,,CONSUMER,36,1.04289116096209E+15
03-02-2015,2290.986,2304.323,2280.806,2282.873,76766041,-8.113,2290.986,332147246391,13894,,,,,,,,CONSUMER,36,1.04089147382719E+15
04-02-2015,2282.873,2296.626,2270.149,2277.653,99857971,-5.22,2282.873,362018875410,17568,,,,,,,,CONSUMER,36,1.03742880746146E+15
05-02-2015,2277.653,2271.489,2232.926,2248.232,119369863,-29.421,2277.653,504843990065,17140,,,,,,,,CONSUMER,36,1.02779291219627E+15
06-02-2015,2248.232,2310.953,2246.046,2306.194,77314266,57.962,2248.232,466674561070,15470,,,,,,,,CONSUMER,36,1.04622835596886E+15
09-02-2015,2306.194,2310.749,2278.692,2286.328,96278740,-19.866,2306.194,344729298250,12231,,,,,,,,CONSUMER,36,1.03807831782936E+15
10-02-2015,2286.328,2298.069,2255.436,2255.436,101159621,-30.892,2286.328,355762243514,12943,,,,,,,,CONSUMER,36,1.02686508348342E+15
11-02-2015,2255.436,2272.401,2254.514,2258.103,102126340,2.667,2255.436,275586097645,18211,,,,,,,,CONSUMER,36,1.02773881631093E+15
12-02-2015,2258.103,2262.363,2240.359,2256.972,105226004,-1.131,2258.103,340927920100,17787,,,,,,,,CONSUMER,36,1.02550538972649E+15
13-02-2015,2256.972,2278.514,2249.545,2277.083,103727092,20.111,2256.972,341217229220,11397,,,,,,,,CONSUMER,36,1.03220167872787E+15
16-02-2015,2277.083,2281.917,2236.56,2236.56,150672507,-40.523,2277.083,415861304207,14490,,,,,,,,CONSUMER,36,1.0180531060005E+15
17-02-2015,2236.56,2254.176,2244.08,2252.072,77243950,15.512,2236.56,352920562600,13335,,,,,,,,CONSUMER,36,1.02247616069293E+15
18-02-2015,2252.072,2262.941,2244.625,2246.625,130762899,-5.447,2252.072,435530026800,14799,,,,,,,,CONSUMER,36,1.0224453891216E+15
20-02-2015,2246.625,2250.31,2231.36,2234.42,89065364,-12.205,2246.625,269009463914,11078,,,,,,,,CONSUMER,36,1.01888642297588E+15
23-02-2015,2234.42,2254.535,2234.242,2239.765,128908519,5.345,2234.42,425012983275,21924,,,,,,,,CONSUMER,36,1.01888369810888E+15
24-02-2015,2239.765,2244.231,2231.526,2243.02,128859655,3.255,2239.765,574971492375,20480,,,,,,,,CONSUMER,36,1.0199497535151E+15
25-02-2015,2243.02,2254.223,2242.836,2252.824,116302640,9.804,2243.02,309988099295,16871,,,,,,,,CONSUMER,36,1.02337992863257E+15
26-02-2015,2252.824,2263.851,2237.956,2259.7,139436157,6.876,2252.824,352472567200,18039,,,,,,,,CONSUMER,36,1.02563200963849E+15
27-02-2015,2259.7,2259.127,2245.176,2245.176,125229888,-14.524,2259.7,386439576200,16676,,,,,,,,CONSUMER,36,1.02109415816399E+15
02-03-2015,2245.176,2267.243,2238.26,2267.243,104021953,22.067,2245.176,386859435505,19459,,,,,,,,CONSUMER,36,1.03051288442777E+15
03-03-2015,2267.243,2278.462,2264.899,2264.899,93933188,-2.344,2267.243,492922363250,16682,,,,,,,,CONSUMER,36,1.02974521521915E+15
