Date,Open,High,Low,Close,Volume,Change,Previous,Value,Frequency,ForeignSellValue,ForeignBuyValue,NonRegularVolume,NonRegularValue,NonRegularFrequency,ListedShare,TradebleShare,IndexCode,NumberOfStock,MarketCapital
28-01-2015,895.799,907.019,895.277,907.019,546262991,11.22,895.799,606591408455,30125,,,,,,,,TRADE,112,645559503502947.0
29-01-2015,907.019,909.849,905.191,908.26,901670921,1.241,907.019,1081372198353,34340,,,,,,,,TRADE,112,646461608169634.0
30-01-2015,908.26,924.228,910.023,921.473,959501649,13.213,908.26,1478256074950,38647,,,,,,,,TRADE,112,655849160621910.0
02-02-2015,921.473,922.722,900.06,916.655,656727629,-4.818,921.473,638002524035,30052,,,,,,,,TRADE,112,652432924457506.0
03-02-2015,916.655,922.51,912.509,915.199,620752754,-1.456,916.655,824813834262,33849,,,,,,,,TRADE,112,651405385388765.0
04-02-2015,915.199,924.284,916.036,918.756,936668915,3.557,915.199,1155723528100,36974,,,,,,,,TRADE,112,653763550535939.0
05-02-2015,918.756,919.573,912.04,917.054,662712898,-1.702,918.756,829345915660,32929,,,,,,,,TRADE,112,652554485361479.0
06-02-2015,917.054,927.057,915.97,927.057,846967921,10.003,917.054,1858838254465,33708,,,,,,,,TRADE,112,659688994428492.0
09-02-2015,927.057,931.016,922.428,929.587,708893266,2.53,927.057,936365902735,33364,,,,,,,,TRADE,112,661594824657674.0
10-02-2015,929.587,931.555,921.573,925.234,637868681,-4.353,929.587,786905550252,33726,,,,,,,,TRADE,112,658502382300359.0
11-02-2015,925.234,928.799,922.917,923.961,511350505,-1.273,925.234,764661481303,35255,,,,,,,,TRADE,112,657598228061502.0
12-02-2015,923.961,925.531,919.286,925.531,864023768,1.57,923.961,1252905207791,51218,,,,,,,,TRADE,112,658530761029898.0
13-02-2015,925.531,930.447,924.537,930.447,810812758,4.916,925.531,1233478323410,43365,,,,,,,,TRADE,112,662212574753219.0
16-02-2015,930.447,934.354,917.692,925.876,800285952,-4.571,930.447,1022111896630,52766,,,,,,,,TRADE,112,658816127219348.0
17-02-2015,925.876,936.556,925.021,936.556,959274470,10.68,925.876,1067472868946,41719,,,,,,,,TRADE,112,666363632832122.0
18-02-2015,936.556,948.743,936.209,947.463,4355225321,10.907,936.556,1885703263059,57099,,,,,,,,TRADE,112,674113180428047.0
20-02-2015,947.463,952.637,947.025,951.608,669777939,4.145,947.463,1062269504944,43084,,,,,,,,TRADE,112,677075222825722.0
23-02-2015,951.608,962.036,952.841,958.893,980349788,7.285,951.608,1185390483270,44780,,,,,,,,TRADE,112,682278986732063.0
24-02-2015,958.893,967.598,958.136,967.598,942140923,8.705,958.893,1251376272665,49317,,,,,,,,TRADE,112,688490817178226.0
25-02-2015,967.598,972.669,965.769,971.289,1113265787,3.691,967.598,2915779583029,52475,,,,,,,,TRADE,112,691113352759721.0
26-02-2015,971.289,980.923,969.15,978.813,1279093526,7.524,971.289,1692514643711,53839,,,,,,,,TRADE,112,696458924445218.0
27-02-2015,978.813,988.088,981.485,987.213,1160749558,8.4,978.813,1694817074085,47189,,,,,,,,TRADE,112,702481243762421.0
02-03-2015,987.213,997.308,987.496,995.228,1667647010,8.015,987.213,1972202063460,54396,,,,,,,,TRADE,112,708175857626067.0
03-03-2015,995.228,1002.54,989.448,998.613,1174020521,3.385,995.228,1708101373300,51707,,,,,,,,TRADE,112,710607976693405.0
04-03-2015,998.613,998.516,986.358,988.044,1168242047,-10.569,998.613,1334056356193,40523,,,,,,,,TRADE,112,703057659441598.0
05-03-2015,988.044,997.392,978.496,993.857,924439520,5.813,988.044,1235955773993,40088,,,,,,,,TRADE,112,707093456727449.0
06-03-2015,993.857,999.154,992.262,999.154,704091689,5.297,993.857,1667497738880,38031,,,,,,,,TRADE,112,710857209645970.0
09-03-2015,999.154,995.806,981.066,983.447,640412827,-15.707,999.154,1234498633045,51189,,,,,,,,TRADE,112,699771770196852.0
10-03-2015,983.447,988.615,976.051,986.94,746062073,3.493,983.447,1155346594160,40426,,,,,,,,TRADE,112,702239598475375.0
11-03-2015,986.94,985.277,974.131,978.462,1269628298,-8.478,986.94,1052657163617,38970,,,,,,,,TRADE,112,696263839928676.0
12-03-2015,978.462,982.028,976.617,980.039,641420146,1.577,978.462,867044391411,30847,,,,,,,,TRADE,112,697391061053504.0
13-03-2015,980.039,983.477,975.86,976.445,801573390,-3.594,980.039,1096739619850,37592,,,,,,,,TRADE,112,694721967666526.0
16-03-2015,976.445,975.017,971.423,971.864,886713000,-4.581,976.445,1082106342279,32372,,,,,,,,TRADE,112,691453845803123.0
17-03-2015,971.864,977.833,972.599,973.652,1099903698,1.788,971.864,1436277282965,38994,,,,,,,,TRADE,112,692771692597005.0
18-03-2015,973.652,974.952,961.561,970.156,520636276,-3.496,973.652,669337202800,36411,,,,,,,,TRADE,112,690287523506251.0
19-03-2015,970.156,976.188,970.486,976.035,696555219,5.879,970.156,743838119721,50998,,,,,,,,TRADE,112,694465037491310.0
20-03-2015,976.035,975.48,970.511,975.48,829014604,-0.555,976.035,1216842142545,44738,,,,,,,,TRADE,112,694057149651012.0
23-03-2015,975.48,977.699,971.007,971.5,1606727485,-3.98,975.48,1395798121910,39645,,,,,,,,TRADE,112,691209180754996.0
